"항목코드","분류","항목","판단기준","결과","점검내용","조치방법","진단대상","진단대상IP","중요도","점검파일"
"U-01","계정 관리","root 계정 원격 접속 제한","양호 : 원격터미널 서비스를 사용하지 않거나, 사용 시 root 직접 접속을 차단한 경우 | 취약 : 원격터미널 서비스 사용 시 root 직접 접속을 허용한 경우","양호","sshd_config: (PermitRootLogin 미설정 → 기본 prohibit-password) | Telnet 서비스: 비활성(미설치/미사용)","원격 접속 시 root 계정으로 접속할 수 없도록 파일 내용 설정","Linux(unix)","DESKTOP-3M6FEIA","상","/etc/ssh/sshd_config"
"U-02","계정 관리","비밀번호 관리정책 설정","양호 : 비밀번호 관리 정책이 설정된 경우 | 취약 : 비밀번호 관리 정책이 설정되지 않은 경우","취약","# /etc/login.defs | (PASS_MAX/MIN_DAYS 미설정) | # /etc/security/pwquality.conf | (활성 복잡도 설정 없음) | # (PAM 비밀번호 파일 없음) | (pam_pwquality 미적용) | # /etc/security/pwhistory.conf | (활성 재사용제한 설정 없음 — PAM 인라인 remember 또는 미설정)","root 계정을 포함한 사용자 계정의 비밀번호를 영문, 숫자, 특수문자를 포함하여 최소 8자리 이상 및 최소 사용 기간 1일, 최대 사용 기간 90일, 최근 비밀번호 기억 4회 이상으로 설정","Linux(unix)","DESKTOP-3M6FEIA","상","/etc/login.defs | /etc/security/pwquality.conf | PAM | /etc/security/pwhistory.conf"
"U-03","계정 관리","계정 잠금 임계값 설정","양호 : 계정 잠금 임계값이 10회 이하의 값으로 설정된 경우 | 취약 : 계정 잠금 임계값이 설정되어 있지 않거나, 10회 이하의 값으로 설정되지 않은 경우","취약","pam_faillock/pam_tally2 설정 없음","계정 잠금 임계값을 10회 이하로 설정","Linux(unix)","DESKTOP-3M6FEIA","상","/etc/pam.d"
